DEPTH,CARB_FLAG,COAL_FLAG,DT,GR,NPHI,RD,RHOB,ROP5_RM,RS,RT,SAND_FLAG,depth_m,OBG,OBG_inc,NCL,Mud,PP-3,PP-2.5,PP-2
1371.7524,,,139.573303,117.984298,0.6128,1.13960003,1.58060002,4.73369979,1.58879995,0.8409,,1371.7524,0.34238507756539915,3607.6269599789384,148.8075253574937,1948.2176285760002,1596.584950303162,1659.9816306159428,1721.379775316169
1371.9048,,,137.096405,120.625099,0.55629998,1.02369999,1.64219999,4.89849996,1.99189996,0.95709997,,1371.9048,0.35572868773850047,3607.982688666677,148.80106981840262,1948.434073152,1486.0581256802566,1571.2222693810907,1652.9683220249601
1372.0572,,,143.405303,120.267501,0.6387,1.03120005,1.71329998,4.98759984,2.3420999,0.9666,,1372.0572,0.371130165204665,3608.3538188318817,148.79461432965428,1948.6505177279996,1754.410468279122,1788.2948490624963,1821.5599276105943
1372.2096,,,146.798294,122.825798,0.5521,1.092,1.75960004,4.98759984,2.0834999,0.912,,1372.2096,0.38115955242078214,3608.7349783843024,148.78815889124868,1948.8669623039996,1880.4488643795128,1892.0446517887597,1903.5626382572073
1372.362,,,146.842498,124.476303,0.50999999,1.05649995,1.74240005,4.98759984,2.6558001,0.99150002,,1372.362,0.37743373954228177,3609.112412123845,148.78170350318578,1949.08340688,1882.4439141691212,1893.7334317117322,1904.949134734361
1372.5144,,,148.573303,126.759498,0.5331,1.06930005,1.69500005,12.3304996,2.34489989,0.94569998,,1372.5144,0.3671660864540576,3609.4795782102988,148.77524816546563,1949.299851456,1942.5209516474656,1943.6526874466306,1944.7836548848427
1372.6668,,,149.868301,124.201202,0.4544,1.09759998,1.64779996,11.5916004,1.94990003,0.88029998,,1372.6668,0.3569417373010419,3609.8365199475998,148.76879287808822,1949.516296032,1985.7916513568764,1979.8012708632866,1973.7887945156035
1372.8192,,,148.960205,123.926101,0.52189999,1.09130001,1.6171,9.88549995,2.06999993,0.9156,,1372.8192,0.350291599345296,3610.186811546945,148.7623376410535,1949.7327406079999,1956.3408162607163,1955.2412994028944,1954.1410515596458
1372.9716,,,150.156906,124.393798,0.5126,1.09710001,1.61129999,8.73659992,2.30299997,0.97589999,,1372.9716,0.3490352176873165,3610.5358467646324,148.7558824543615,1949.9491851839998,1995.9986388243894,1988.4133806942448,1980.7924862587747
1373.124,,,145.380599,128.4375,0.4812,1.12320005,1.62090003,6.70609998,1.59309995,0.90479999,,1373.124,0.35111475102809864,3610.8869615156605,148.74942731801227,1950.1656297599998,1832.0206536516996,1852.2796058904912,1872.307835255957
