Days	Qgas_mmscf	Whp_psig	
236	2.0519445	4498.777	
237	1.998108	4501.834	
238	1.98267	4504.89	
239	1.9492245	4501.834	
240	1.9642965	4501.834	
241	1.9584015	4498.777	
242	1.8961725	4498.777	
243	1.873788	4504.26	
244	1.6807425	4580.387	
245	1.877079	4504.125	
246	1.853028	4503.798	
247	1.827924	4502.369	
248	1.8210855	4503.13	
249	1.7985195	4502.277	
250	1.7943285	4500.6	
251	1.775643	4500.018	
252	1.6769625	4499.912	
253	1.541805	4630.317	
254	1.7223	4518.222	
255	1.7429355	4500.248	
256	0	4502.303	
257	1.7333985	4499.768	
258	1.7147085	4500.366	
259	1.6915305	4501.309	
260	1.686504	4500.916	
261	1.6686285	4500.413	
262	1.6554645	4501.353	
263	1.6366935	4500.981	
264	1.6342305	4500.281	
265	1.626762	4501.069	
266	1.606425	4500.33	
267	1.592019	4500.24	
268	1.5809835	4500.256	
269	1.5706155	4500.305	
270	1.4927805	4509.493	
271	1.5448605	4370.114	
272	1.541037	4500.39	
273	1.5251625	4499.626	
274	1.4460975	4500.426	
275	1.427898	4598.124	
276	1.527585	4500.046	
277	1.4849895	4535.452	
278	1.498296	4499.991	
279	1.484322	4499.937	
280	1.48236	4499.822	
281	1.4630835	4499.928	
282	1.461792	4500.08	
283	1.43859	4500.363	
284	1.409469	4512.085	
285	1.431828	4500.041	
286	1.417152	4499.607	
287	1.4034495	4500.258	
288	1.398333	4499.829	
289	1.391118	4500.339	
290	1.377561	4499.532	
291	1.37007	4500.027	
292	1.362312	4501.999	
293	1.3403595	4501.416	
294	1.2983685	4503.419	
295	1.369062	4503.13	
296	1.3200585	4503.361	
297	1.3141155	4501.792	
298	1.3211625	4502.444	
299	1.2973305	4502.181	
300	1.287615	4501.833	
301	1.276965	4501.764	
302	1.277583	4500.814	
303	1.3192305	4501.397	
304	1.273107	4500.66	
305	1.251165	4499.758	
306	1.256646	4500.267	
307	1.254402	4500.447	
308	1.2510975	4499.979	
309	1.2472095	4499.979	
310	1.223958	4499.55	
311	1.215393	4500.632	
312	1.1841825	4500.471	
313	1.1982285	4512.704	
314	1.1940315	4500.533	
315	1.1837535	4500.604	
316	1.180167	4500.305	
317	1.17177	4500.431	
318	1.1560365	4500.85	
319	1.1508165	4501.061	
320	1.1451135	4500.289	
321	1.1189055	4504.179	
322	0.9682305	4546.059	
323	1.053888	4541.748	
324	1.250391	4500.095	
325	1.1466795	4500.814	
326	1.12938	4500.289	
327	1.13271	4499.142	
328	1.0571445	4500.354	
329	0.840231	4425.262	
330	1.0548105	4569.765	
331	1.0382235	4540.249	
332	1.039593	4534.27	
333	0.943197	4572.021	
334	1.0391985	4553.902	
335	1.0316775	4541.29	
336	1.0462995	4536.258	
337	1.0386	4531.847	
338	1.0388145	4528.791	
339	1.0339125	4525.934	
340	1.0455255	4522.548	
341	1.0350105	4518.77	
342	1.032606	4516.929	
343	1.0384755	4512.8	
344	1.0393755	4509.601	
345	1.029672	4506.373	
346	1.0362675	4502.852	
347	1.0300695	4499.562	
348	1.0149555	4500.779	
349	1.009239	4501.955	
350	0.99858	4500.346	
351	0.927735	4500.517	
352	1.008039	4499.707	
353	0.9911475	4500.24	
354	0.9592575	4499.759	
355	0.963999	4499.783	
356	0.954489	4499.667	
357	0.944091	4499.65	
358	0.94317	4500.038	
359	0.9366795	4499.559	
360	0.9290415	4499.928	
361	0.885996	4564.588	
362	0.997932	4503.684	
363	0.974964	4499.422	
364	0.936984	4500.077	
365	0.920823	4501.647	
366	0.910176	4500.305	
367	0.892542	4500.777	
368	0.881613	4500.007	
369	0.8790525	4500.201	
370	0.8749425	4499.635	
371	0.8882775	4500.603	
372	0.874494	4500.217	
373	0.87867	4500.475	
374	0	4499.866	
375	0.9844005	4488.168	
376	1.0303425	4456.695	
377	1.033173	4443.612	
378	1.0278975	4435.266	
379	1.024134	4426.618	
380	1.014483	4416.818	
381	1.0254045	4409.526	
382	1.0261725	4403.812	
383	0.9983235	4398.862	
384	1.01988	4390.848	
385	0.947034	4385.044	
386	0.8100255	4379.505	
387	1.0438905	4373.035	
388	1.0048395	4366.422	
389	1.004364	4361.246	
390	1.0052055	4355.049	
391	1.0023135	4347.672	
392	0.863769	4441.446	
393	1.002423	4378.771	
394	0.9854235	4358.152	
395	0.9878595	4353.372	
396	0.987648	4345.728	
